Scientific Name,Aitkin,Anoka,Becker,Beltrami,Benton,Big Stone,Blue Earth,Brown,Carlton,Carver,Cass,Chippewa,Chisago,Clay,Clearwater,Cook,Cottonwood,Crow Wing,Dakota,Dodge,Douglas,Faribault,Fillmore,Freeborn,Goodhue,Grant,Hennepin,Houston,Hubbard,Isanti,Itasca,Jackson,Kanabec,Kandiyohi,Kittson,Koochiching,Lac Qui Parle,Lake,Lake of the Woods,Le Sueur,Lincoln,Lyon,Mahnomen,Marshall,Martin,McLeod,Meeker,Mille Lacs,Morrison,Mower,Murray,Nicollet,Nobles,Norman,Olmsted,Otter Tail,Pennington,Pine,Pipestone,Polk,Pope,Ramsey,Red Lake,Redwood,Renville,Rice,Rock,Roseau,Saint Louis,Scott,Sherburne,Sibley,Stearns,Steele,Stevens,Swift,Todd,Traverse,Wabasha,Wadena,Waseca,Washington,Watonwan,Wilkin,Winona,Wright,Yellow Medicine
Nomada gracilis,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Nomada graenicheri,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
Nomada illinoensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
Nomada imbricata,,,,,,,,,x,,,,,,x,,,,x,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,x,,,,x,,,,,,x,,,,,,,,,,x,,,,,
Nomada integerrima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nomada lehighensis,,x,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,x,,,,,x,,,,,,,,,,,,,x,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Nomada lepida,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nomada louisianae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nomada luteoloides,,x,x,,,,,,,,,,,,x,,,,x,,,,x,,x,,x,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,x,,,,x,,,,,,x,,,,,,,,,,x,,,,,
Nomada maculata,,x,,,,,,,x,,x,,x,,x,,,,x,,,,,,x,,x,x,,x,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,x,,,,x,,,,,,,,,x,,,,,,,,x,,,x,,,x,,
Nomada obliterata,,x,,,,,,,,,,,x,,x,,,x,,,,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Nomada ovata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nomada perplexa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nomada pygmaea,,x,x,,,,,,,,,,x,,x,,,,,,,,x,,,,x,x,,x,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,x,x,x,,x,,,,,,,,,x,,,,,,,,,,,x,,,,,
Nomada rubi,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nomada rubicunda,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Nomada sayi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nomada superba,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,x,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,x,x,,,x,,,,,,,,,,,,,,,,,
Nomada tiftonensis,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Nomada vegana,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nomada vicina,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Nomada vincta,,,,,,x,,x,,,,,,x,,,,,,,x,,,x,,x,x,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,x,x,,,,,,x,x,,,,
Nomada xanthura,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Svastra atripes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
Svastra obliqua,,,,,,x,,,,,,x,,x,,,,,x,,,,,,x,,x,x,,,,x,,,,,,,,,x,x,,,,,,,,,,,x,,,,,,,,x,,,x,,,x,,,x,,,,,,x,,,,,,x,,,,,
Triepeolus concavus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Triepeolus cressonii,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,,
Triepeolus distinctus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,
Triepeolus donatus,,,x,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,
Triepeolus eliseae,x,x,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,
Triepeolus helianthi,,,,,,,,,,,,,,,,,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,,,,,x,,,x,,,,,,,,,x
Triepeolus lunatus,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,x,,,,,,,,,,,,,,,,x,,,,,
Triepeolus obliteratus,,,x,,x,,,,x,,,,,x,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,
Triepeolus occidentalis,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Triepeolus pectoralis,,,x,,,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,x,,,,,,,,,,,,,,,x,,,,,x
Triepeolus remigatus,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,x,,,,,
Triepeolus rhododontus,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triepeolus simplex,,,x,,,,,,,,,,,x,,,,,,,x,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,
Triepeolus subalpinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triepeolus tanneri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
Xylocopa virginica,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Colletes aberrans,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,x,,,,,,,,x,,,,,,,,,x,,,x,,,,,
Colletes albescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Colletes americanus,,,,x,,x,,,,,x,,,x,x,,,,x,,,,,,,x,x,,x,,,,,x,,,,,,,x,,,,,,,,,,,,,x,x,x,,x,,x,,x,,,,,x,,,x,,,,,,,,,,,,x,,,,,
Colletes andrewsi,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,x,,,,,,,,,,,,,,,,
Colletes brevicornis,,x,x,,,,,,,,,,,x,x,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,
Colletes compactus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,
Colletes consors,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colletes hyalinus,,,,x,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,x,,x,,,,,,x,,,,,,,,,,,,,,,,,,,
Colletes impunctatus,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,
Colletes inaequalis,x,x,x,x,,,,,,x,x,,,x,x,,,,,,,,x,,,,x,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,x,,,x,x,,,,,x,,,,x,,x,,x,,,,,,,x,,,x,,
Colletes kincaidii,,x,x,x,x,x,x,,,x,x,x,,x,x,,,,,,x,,,,,x,x,,x,x,,,,x,x,,,,,x,,x,x,x,,x,,,,,x,,x,x,,,,,x,x,x,x,x,,,,x,x,,x,,x,x,x,x,x,,x,x,,,x,,x,x,x,
Colletes latitarsis,,x,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,x,,,,,,,,
Colletes mandibularis,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Colletes nudus,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colletes phaceliae,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,x,,,x,,,,,,,,,,,,x,,,,x,,,x,,,,x,,,,,,,,,,,x,,,,,,,,,
Colletes robertsonii,,,x,,,x,,,,,,x,,x,,,,,,,x,,,,,,x,,,,,x,,x,,,,,,,,,x,,,x,,,,,x,,,,,x,,,x,x,x,,,,,,,,,,,,,,x,x,,x,,,,,,x,,,x
Colletes rufocinctus,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colletes simulans,x,x,x,x,,x,,,,x,x,x,,x,x,x,,x,x,,,,x,x,,x,x,x,x,x,,,,x,,x,,x,,,,x,,,,,,,,,x,,,x,x,x,x,x,x,x,x,x,,,,,x,,x,,,,x,,x,x,,,,,x,x,,,x,,
Colletes solidaginis,,x,,,,x,,,,x,,x,,x,,,,,,,x,,,,,,x,,,,,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,
Colletes speculiferus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Colletes susannae,,,,,x,,,,,,,x,,x,,,,,,,,,,,,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,x,,,,,,,,,,,x,,x,x,x,,,,,x,,,x,,x
Colletes validus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
Colletes willistoni,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,
Colletes wilmattae,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hylaeus affinis,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,x,x,,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
Hylaeus annulatus,x,,,x,,,,,,,,,,x,x,x,,,,,,,,,,,,x,,x,x,,,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,x,,,,,
Hylaeus basalis,,,x,,,,,,,,,,,,x,x,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,
Hylaeus fedorica,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,x,,,,,
Hylaeus floridanus,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hylaeus illinoisensis,x,x,,,,,,x,,,,,,,x,,,,,,,x,,,,,x,x,,,x,,,,x,,,,,,,,,,,,,,x,,,,,x,,,,x,,x,,x,x,,,,,,,,,,,,,,x,x,,,,,,,,,
Hylaeus leptocephalus,,x,,,x,,,,,x,x,,,x,,,,,,,,x,,x,,,x,,,,,x,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,x,,x,,,,,x,,,,,x,x,,,,,,,,,,,,,,
Hylaeus mesillae,x,x,x,x,x,x,,x,,x,x,x,,x,x,,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,x,x,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,,x,x,,,x,x,x,x,x,x
Hylaeus modestus,x,x,x,,,x,x,x,x,x,,x,x,x,x,,,x,,x,,x,,,x,,x,x,,x,,x,,x,x,,,,x,,,,x,,x,x,x,x,x,x,,x,,x,x,x,x,x,,x,x,x,x,x,x,,x,x,x,x,x,x,x,,x,x,,,x,,x,x,x,x,x,x,
Hylaeus nelumbonis,x,,x,,,,x,,,,,,,x,,,,,,,,x,,x,,x,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,x,,,,,x,x,,,
Hylaeus rudbeckiae,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hylaeus saniculae,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,x,,,,x,
Hylaeus sparsus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Hylaeus verticalis,x,x,x,,,,,,,,,,,x,x,x,,,,,,,,,,,x,,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,x,,,x,,x,,x,,,,x,,,x,,,,,,,,x,,,,,,,,,,
Agapostemon angelicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agapostemon sericeus,,x,x,,,x,,x,,x,,x,x,x,x,,x,,x,,,x,x,x,x,,x,x,,x,,x,,x,,,x,,,x,x,x,,,x,,x,x,x,,x,,x,x,x,x,,x,,,x,x,x,x,x,,x,,,x,x,x,,,x,x,x,x,x,x,x,x,x,,x,x,
Agapostemon splendens,x,x,,,x,,,,,,,,x,,x,,,x,x,,,,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,x,,,,x,,,,,,,,x,x,,,,,,,,x,,,x,x,,x,,
Agapostemon texanus,,x,x,,x,x,,x,,x,x,x,,,x,,x,x,x,x,x,x,x,x,,x,x,,,x,x,x,x,x,x,,x,,x,x,x,x,x,x,x,,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,,,x,,x,,,x,x,x,x,x,,x,x,x,,,x
Agapostemon virescens,,x,x,,,x,x,x,,x,x,x,x,x,x,,,,x,x,x,x,x,x,x,x,x,x,,x,x,x,,x,x,,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Augochlora pura,x,x,x,x,,,,x,x,,x,,x,,x,,,x,x,,,,,,x,,x,x,,x,,,x,,,,,,,,,x,,,,,,x,x,,,,,,,x,,x,,x,,x,,x,,,,,,x,,x,x,,,,,,x,,,x,,,x,x,
Augochlorella aurata,,x,x,x,x,x,x,,,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
Augochlorella persimilis,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,x,,,,x,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,x,,
Augochloropsis humeralis,,,,,,,,,,,,,,x,,,,,,,x,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,x,,,x,,
Augochloropsis metallica,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Augochloropsis viridula,,x,,,,,x,,,x,,,,,,,,,,,x,,x,,x,,x,x,,x,,x,,x,,,,,,x,,x,,,,,,,,,x,,,,x,,,x,,,,x,,x,x,,,,,,x,,x,,x,x,,,x,,,x,,,x,x,
