Scientific Name,Aitkin,Anoka,Becker,Beltrami,Benton,Big Stone,Blue Earth,Brown,Carlton,Carver,Cass,Chippewa,Chisago,Clay,Clearwater,Cook,Cottonwood,Crow Wing,Dakota,Dodge,Douglas,Faribault,Fillmore,Freeborn,Goodhue,Grant,Hennepin,Houston,Hubbard,Isanti,Itasca,Jackson,Kanabec,Kandiyohi,Kittson,Koochiching,Lac Qui Parle,Lake,Lake of the Woods,Le Sueur,Lincoln,Lyon,Mahnomen,Marshall,Martin,McLeod,Meeker,Mille Lacs,Morrison,Mower,Murray,Nicollet,Nobles,Norman,Olmsted,Otter Tail,Pennington,Pine,Pipestone,Polk,Pope,Ramsey,Red Lake,Redwood,Renville,Rice,Rock,Roseau,Saint Louis,Scott,Sherburne,Sibley,Stearns,Steele,Stevens,Swift,Todd,Traverse,Wabasha,Wadena,Waseca,Washington,Watonwan,Wilkin,Winona,Wright,Yellow Medicine
Eucera atriventris,,x,x,,,,,,,,x,,,,x,,,x,,,x,x,x,,,,x,x,x,,x,,,x,,,,,,,,,,,,,,x,,,,,,,,x,,x,,x,,x,,,,x,,,x,,,,x,,,,,,x,x,,x,,,,,
Eucera dubitata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Eucera hamata,,,x,,x,,,x,,x,,x,x,,,,x,,x,,,x,x,x,x,,x,x,,,,x,,x,,,,,,x,,,,,x,x,x,,,,x,,x,,x,x,,,x,,x,x,,x,x,,x,,,x,x,x,x,,,x,,,x,,,x,,,x,,x
Eucera kansensis,,x,,,x,x,,x,,,,x,x,x,,,,,,,,,,,,,x,,,x,,x,,x,,,,,,,,x,,,,x,,,x,,x,,x,x,,x,,,,,,x,,,x,,,,,,,,,,,x,,,x,,,,,x,,,
Eucera lepida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucera pruinosa,,,,,,,,x,,,,,,,,,,,x,,,,,,,,x,,,,,,,x,,,,,,,,,,,x,,,,,,x,,,,x,,,,,,x,x,,,x,,,,,x,,,,x,,,,,,,x,x,x,,,,
Holcopasites calliopsidis,,,,,,,,,,,,,,,,,,,,,x,,,,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,x,,x,,,,x,,x,,,,,x,,,,,,,,,,,,,,,x,,,,,
Melissodes agilis,,x,x,,x,x,,x,,x,,x,x,x,x,,x,,x,,x,x,,,,x,x,,x,x,,x,,x,x,,x,,,,x,x,x,x,x,x,x,,x,,x,,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,,x
Melissodes apicatus,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissodes bidentis,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,
Melissodes bimaculatus,,x,,,,x,x,x,,x,,x,x,x,,,x,,x,x,,x,x,x,x,,x,x,,,,x,,x,,,x,,,,x,x,,,x,,x,,,x,x,,x,,x,,,,x,,x,x,,x,x,x,x,,,x,x,x,x,x,x,x,,x,x,,x,x,x,,x,x,x
Melissodes boltoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissodes communis,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,x,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
Melissodes comptoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissodes confusus,,x,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,x,,,,,,x,,,x,,,,,x,,,,,,,,,,,,,,,,,,,
Melissodes coreopsis,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,x,,,,,x
Melissodes denticulatus,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,x,,,,
Melissodes dentiventris,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,
Melissodes desponsus,,,x,,x,,,x,,,,,x,,x,,x,,x,,x,x,,x,,,x,x,,,,x,,,,,,,,,,x,,,x,,x,x,,,x,,x,,x,x,,,,,x,x,,x,x,,x,,,x,,,x,,,,,,x,,x,x,x,,,,
Melissodes druriellus,x,x,x,x,x,x,,,,x,x,,,x,x,,,,,,,,,,,x,x,,x,x,,,,x,,x,,,,,,,,,x,,,,,,x,,,,x,,,x,,x,x,x,,,,,,,x,,,,,,x,,,,,,x,x,,x,,x,x
Melissodes gelidus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Melissodes grindeliae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissodes illatus,,x,x,,,,,,x,,,,,,x,x,,,,,x,,,,,,,,x,x,,,,,,x,,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,x,,,,,
Melissodes menuachus,,x,,,,x,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
Melissodes niveus,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissodes rivalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissodes snowii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,
Melissodes subagilis,,,,,,,,,,,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,x
Melissodes subillatus,,x,x,,,x,,x,,,,,,x,x,,x,x,x,,,,,,,,x,,,,,x,,x,,,,,,,,x,x,,,x,x,,,,x,,,,,x,,,x,,x,x,,,,,x,,,,x,,,,x,x,,,,,,x,x,,,x,
Melissodes tinctus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissodes trinodis,x,x,x,,x,x,x,x,x,x,,x,x,x,x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,,x,,x,x,,x,,,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Melissodes wheeleri,,x,x,,,,,,x,,,,,x,x,,,,,,x,,,,,,x,,,x,,,,x,x,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,x,x,x,,,,,,,,,,
Neolarra vigilans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Nomada aquilarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Nomada articulata,,x,x,,,x,x,x,,,,x,,x,x,,,,,,x,,x,,x,x,x,x,,x,,x,,x,x,,,,,,x,x,,x,x,x,x,,,,x,x,,x,x,x,,x,x,x,x,x,x,,x,,x,,x,,,x,,x,x,x,,x,x,,,x,,,x,,
Nomada australis,,x,,,,,,,,,,,,,x,,,,,,,,,,x,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Nomada banksi,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Nomada bella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nomada besseyi,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nomada bethunei,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,x,x,,,,,,,x,,,,x,,,,,,,,,,,,,,
Nomada cressonii,,x,x,,,,,,,,,,x,,x,,,,,,,,,,x,,x,x,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x,,,,x,x,,,,,,x,,x,,,,,,,,x,,,x,,,x,,
Nomada cuneata,x,x,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,x,x,,,,,,,,x,,x,,,,,,,,,,,,,,
Nomada denticulata,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,x,,,x,,,,,
Nomada depressa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Nomada erigeronis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
Nomada fervida,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,x,x,,,,,,,,,,,,x,,,,,
Nomada fuscicincta,,,x,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,x,,x,,,,,,,,,,,
